province,type,tanggal,klasifikasi,all_available_room,room_total
Bali,Hotel,1/1/2020,Rated,2155,37756
Bali,Hotel,1/1/2020,Not Rated,163,392
Bali,Hotel,1/2/2020,Rated,3878,38814
Bali,Hotel,1/2/2020,Not Rated,211,415
Bali,Hotel,1/3/2020,Rated,5412,39084
Bali,Hotel,1/3/2020,Not Rated,256,444
Bali,Hotel,1/4/2020,Rated,7786,39310
Bali,Hotel,1/4/2020,Not Rated,306,483
Bali,Hotel,1/5/2020,Rated,7956,39334
Bali,Hotel,1/5/2020,Not Rated,273,448
Bali,Hotel,1/6/2020,Rated,9238,39553
Bali,Hotel,1/6/2020,Not Rated,266,423
Bali,Hotel,1/7/2020,Rated,9565,39595
Bali,Hotel,1/7/2020,Not Rated,323,473
Bali,Hotel,1/8/2020,Rated,12530,45832
Bali,Hotel,1/8/2020,Not Rated,1014,1285
Bali,Hotel,1/9/2020,Rated,12183,45396
Bali,Hotel,1/9/2020,Not Rated,965,1251
Bali,Hotel,1/10/2020,Rated,11406,45395
Bali,Hotel,1/10/2020,Not Rated,814,1112
Bali,Hotel,1/11/2020,Rated,11409,45831
Bali,Hotel,1/11/2020,Not Rated,995,1277
Bali,Hotel,1/12/2020,Rated,12516,45825
Bali,Hotel,1/12/2020,Not Rated,767,1052
Bali,Hotel,1/13/2020,Rated,12669,45748
Bali,Hotel,1/13/2020,Not Rated,840,1129
Bali,Hotel,1/14/2020,Rated,12928,45681
Bali,Hotel,1/14/2020,Not Rated,740,1020
Bali,Hotel,1/15/2020,Rated,12164,45495
Bali,Hotel,1/15/2020,Not Rated,682,968
Bali,Hotel,1/16/2020,Rated,11325,45223
Bali,Hotel,1/16/2020,Not Rated,428,722
Bali,Hotel,1/17/2020,Rated,11305,45320
Bali,Hotel,1/17/2020,Not Rated,474,781
Bali,Hotel,1/18/2020,Rated,11784,45270
Bali,Hotel,1/18/2020,Not Rated,459,766
Bali,Hotel,1/19/2020,Rated,10871,39667
Bali,Hotel,1/19/2020,Not Rated,250,416
Bali,Hotel,1/20/2020,Rated,12864,45203
Bali,Hotel,1/20/2020,Not Rated,500,795
Bali,Hotel,1/21/2020,Rated,8998,36211
Bali,Hotel,1/21/2020,Not Rated,20,104
Bali,Hotel,1/22/2020,Rated,12350,45011
Bali,Hotel,1/22/2020,Not Rated,392,685
Bali,Hotel,1/23/2020,Rated,10964,43311
Bali,Hotel,1/23/2020,Not Rated,386,643
Bali,Hotel,1/24/2020,Rated,11141,45184
Bali,Hotel,1/24/2020,Not Rated,504,783
Bali,Hotel,1/25/2020,Rated,10511,44538
